Team1,Team2,Score1,Score2,Date/Time
South Korea,Italy,2,1,2002-06-18 20:30:00
England,Brazil,1,2,2002-06-21 15:30:00
Germany,United States,1,0,2002-06-21 20:30:00
Senegal,Turkey,0,1,2002-06-22 20:30:00
Spain,South Korea,0,0,2002-06-22 15:30:00
Germany,South Korea,1,0,2002-06-25 20:30:00
Brazil,Turkey,1,0,2002-06-26 20:30:00
South Korea,Turkey,2,3,2002-06-29 20:00:00
Germany,Brazil,0,2,2002-06-30 20:00:00
Brazil,Scotland,2,1,1998-06-10 17:30:00
Morocco,Norway,2,2,1998-06-10 21:00:00
Italy,Chile,2,2,1998-06-11 17:30:00
Cameroon,Austria,1,1,1998-06-11 21:00:00
Paraguay,Bulgaria,0,0,1998-06-12 14:30:00
Saudi Arabia,Denmark,0,1,1998-06-12 17:30:00
France,South Africa,3,0,1998-06-12 21:00:00
Spain,Nigeria,2,3,1998-06-13 14:30:00
South Korea,Mexico,1,3,1998-06-13 17:30:00
Netherlands,Belgium,0,0,1998-06-13 21:00:00
Argentina,Japan,1,0,1998-06-14 14:30:00
Serbia and Montenegro,Iran,1,0,1998-06-14 17:30:00
Jamaica,Croatia,1,3,1998-06-14 21:00:00
England,Tunisia,2,0,1998-06-15 14:30:00
Romania,Colombia,1,0,1998-06-15 17:30:00
Germany,United States,2,0,1998-06-15 21:00:00
Scotland,Norway,1,1,1998-06-16 17:30:00
Brazil,Morocco,3,0,1998-06-16 21:00:00
Chile,Austria,1,1,1998-06-17 17:30:00
Italy,Cameroon,3,0,1998-06-17 21:00:00
South Africa,Denmark,1,1,1998-06-18 17:30:00
France,Saudi Arabia,4,0,1998-06-18 21:00:00
Nigeria,Bulgaria,1,0,1998-06-19 17:30:00
Spain,Paraguay,0,0,1998-06-19 21:00:00
Japan,Croatia,0,1,1998-06-20 14:30:00
Belgium,Mexico,2,2,1998-06-20 17:30:00
Netherlands,South Korea,5,0,1998-06-20 21:00:00
Germany,Serbia and Montenegro,2,2,1998-06-21 14:30:00
Argentina,Jamaica,5,0,1998-06-21 17:30:00
United States,Iran,1,2,1998-06-21 21:00:00
Colombia,Tunisia,1,0,1998-06-22 17:30:00
Romania,England,2,1,1998-06-22 21:00:00
Italy,Austria,2,1,1998-06-23 16:00:00
Chile,Cameroon,1,1,1998-06-23 16:00:00
Scotland,Morocco,0,3,1998-06-23 21:00:00
Brazil,Norway,1,2,1998-06-23 21:00:00
France,Denmark,2,1,1998-06-24 16:00:00
South Africa,Saudi Arabia,2,2,1998-06-24 16:00:00
Spain,Bulgaria,6,1,1998-06-24 21:00:00
Nigeria,Paraguay,1,3,1998-06-24 21:00:00
Belgium,South Korea,1,1,1998-06-25 16:00:00
Netherlands,Mexico,2,2,1998-06-25 16:00:00
Germany,Iran,2,0,1998-06-25 21:00:00
United States,Serbia and Montenegro,0,1,1998-06-25 21:00:00
Japan,Jamaica,1,2,1998-06-26 16:00:00
Argentina,Croatia,1,0,1998-06-26 16:00:00
Romania,Tunisia,1,1,1998-06-26 21:00:00
Colombia,England,0,2,1998-06-26 21:00:00
Italy,Norway,1,0,1998-06-27 16:30:00
Brazil,Chile,4,1,1998-06-27 21:00:00
France,Paraguay,1,0,1998-06-28 16:30:00
Nigeria,Denmark,1,4,1998-06-28 21:00:00
Germany,Mexico,2,1,1998-06-29 16:30:00
Netherlands,Serbia and Montenegro,2,1,1998-06-29 21:00:00
Romania,Croatia,0,1,1998-06-30 16:30:00
Argentina,England,2,2,1998-06-30 21:00:00
Italy,France,0,0,1998-07-03 16:30:00
Brazil,Denmark,3,2,1998-07-03 21:00:00
Netherlands,Argentina,2,1,1998-07-04 16:30:00
Germany,Croatia,0,3,1998-07-04 21:00:00
Brazil,Netherlands,1,1,1998-07-07 21:00:00
France,Croatia,2,1,1998-07-08 21:00:00
Netherlands,Croatia,1,2,1998-07-11 21:00:00
Brazil,France,0,3,1998-07-12 21:00:00
Spain,South Korea,2,2,1994-06-17 19:30:00
Germany,Bolivia,1,0,1994-06-17 15:00:00
United States,Switzerland,1,1,1994-06-18 11:30:00
Italy,Ireland,0,1,1994-06-18 16:00:00
Colombia,Romania,1,3,1994-06-18 19:30:00
Belgium,Morocco,1,0,1994-06-19 12:30:00
Norway,Mexico,1,0,1994-06-19 16:00:00
Cameroon,Sweden,2,2,1994-06-19 19:30:00
Netherlands,Saudi Arabia,2,1,1994-06-20 19:30:00
Brazil,Russia,2,0,1994-06-20 16:00:00
Argentina,Greece,4,0,1994-06-21 12:30:00
Nigeria,Bulgaria,3,0,1994-06-21 19:30:00
Germany,Spain,1,1,1994-06-21 16:00:00
Romania,Switzerland,1,4,1994-06-22 16:00:00
United States,Colombia,2,1,1994-06-22 19:30:00
Italy,Norway,1,0,1994-06-23 16:00:00
South Korea,Bolivia,0,0,1994-06-23 19:30:00
Mexico,Ireland,2,1,1994-06-24 12:30:00
Sweden,Russia,3,1,1994-06-24 19:30:00
Brazil,Cameroon,3,0,1994-06-24 16:00:00
Belgium,Netherlands,1,0,1994-06-25 12:30:00
Saudi Arabia,Morocco,2,1,1994-06-25 12:30:00
Argentina,Nigeria,2,1,1994-06-25 16:00:00
