Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Netherlands,Mexico,Round of 16,Estadio Castelao,Fortaleza,13:00,29,6,2014,2,1,
Costa Rica,Greece,Round of 16,Arena Pernambuco,Recife,17:00,29,6,2014,1,1,Costa Rica win on penalties (5 - 3)
Argentina,Switzerland,Round of 16,Arena de Sao Paulo,Sao Paulo,13:00,1,7,2014,1,0,Argentina win after extra time
Belgium,USA,Round of 16,Arena Fonte Nova,Salvador,17:00,1,7,2014,2,1,Belgium win after extra time
South Africa,Mexico,Group Phase,Soccer City Stadium,Johannesburg,16:00,11,6,2010,1,1,
Uruguay,France,Group Phase,Cape Town Stadium,Cape Town,20:30,11,6,2010,0,0,
Korea Republic,Greece,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,13:30,12,6,2010,2,0,
Argentina,Nigeria,Group Phase,Ellis Park Stadium,Johannesburg,16:00,12,6,2010,1,0,
England,USA,Group Phase,Royal Bafokeng Sports Palace,Phokeng,20:30,12,6,2010,1,1,
Algeria,Slovenia,Group Phase,Peter Mokaba Stadium,Polokwane,13:30,13,6,2010,0,1,
Serbia,Ghana,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,16:00,13,6,2010,0,1,
Germany,Australia,Group Phase,Durban Stadium,Durban,20:30,13,6,2010,4,0,
Netherlands,Denmark,Group Phase,Soccer City Stadium,Johannesburg,13:30,14,6,2010,2,0,
Japan,Cameroon,Group Phase,Free State Stadium,Mangaung/Bloemfontein,16:00,14,6,2010,1,0,
Italy,Paraguay,Group Phase,Cape Town Stadium,Cape Town,20:30,14,6,2010,1,1,
New Zealand,Slovakia,Group Phase,Royal Bafokeng Sports Palace,Phokeng,13:30,15,6,2010,1,1,
Côte d'Ivoire,Portugal,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,16:00,15,6,2010,0,0,
Brazil,Korea DPR,Group Phase,Ellis Park Stadium,Johannesburg,20:30,15,6,2010,2,1,
Honduras,Chile,Group Phase,Mbombela Stadium,Nelspruit,13:30,16,6,2010,0,1,
Spain,Switzerland,Group Phase,Durban Stadium,Durban,16:00,16,6,2010,0,1,
South Africa,Uruguay,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,20:30,16,6,2010,0,3,
Argentina,Korea Republic,Group Phase,Soccer City Stadium,Johannesburg,13:30,17,6,2010,4,1,
Greece,Nigeria,Group Phase,Free State Stadium,Mangaung/Bloemfontein,16:00,17,6,2010,2,1,
France,Mexico,Group Phase,Peter Mokaba Stadium,Polokwane,20:30,17,6,2010,0,2,
Germany,Serbia,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,13:30,18,6,2010,0,1,
Slovenia,USA,Group Phase,Ellis Park Stadium,Johannesburg,16:00,18,6,2010,2,2,
England,Algeria,Group Phase,Cape Town Stadium,Cape Town,20:30,18,6,2010,0,0,
Netherlands,Japan,Group Phase,Durban Stadium,Durban,13:30,19,6,2010,1,0,
Ghana,Australia,Group Phase,Royal Bafokeng Sports Palace,Phokeng,16:00,19,6,2010,1,1,
Cameroon,Denmark,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,20:30,19,6,2010,1,2,
Slovakia,Paraguay,Group Phase,Free State Stadium,Mangaung/Bloemfontein,13:30,20,6,2010,0,2,
Italy,New Zealand,Group Phase,Mbombela Stadium,Nelspruit,16:00,20,6,2010,1,1,
Brazil,Côte d'Ivoire,Group Phase,Soccer City Stadium,Johannesburg,20:30,20,6,2010,3,1,
Portugal,Korea DPR,Group Phase,Cape Town Stadium,Cape Town,13:30,21,6,2010,7,0,
Chile,Switzerland,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,16:00,21,6,2010,1,0,
Spain,Honduras,Group Phase,Ellis Park Stadium,Johannesburg,20:30,21,6,2010,2,0,
Mexico,Uruguay,Group Phase,Royal Bafokeng Sports Palace,Phokeng,16:00,22,6,2010,0,1,
France,South Africa,Group Phase,Free State Stadium,Mangaung/Bloemfontein,16:00,22,6,2010,1,2,
Nigeria,Korea Republic,Group Phase,Durban Stadium,Durban,20:30,22,6,2010,2,2,
Greece,Argentina,Group Phase,Peter Mokaba Stadium,Polokwane,20:30,22,6,2010,0,2,
Slovenia,England,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,16:00,23,6,2010,0,1,
USA,Algeria,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,16:00,23,6,2010,1,0,
Ghana,Germany,Group Phase,Soccer City Stadium,Johannesburg,20:30,23,6,2010,0,1,
Australia,Serbia,Group Phase,Mbombela Stadium,Nelspruit,20:30,23,6,2010,2,1,
Slovakia,Italy,Group Phase,Ellis Park Stadium,Johannesburg,16:00,24,6,2010,3,2,
Paraguay,New Zealand,Group Phase,Peter Mokaba Stadium,Polokwane,16:00,24,6,2010,0,0,
Denmark,Japan,Group Phase,Royal Bafokeng Sports Palace,Phokeng,20:30,24,6,2010,1,3,
Cameroon,Netherlands,Group Phase,Cape Town Stadium,Cape Town,20:30,24,6,2010,1,2,
Portugal,Brazil,Group Phase,Durban Stadium,Durban,16:00,25,6,2010,0,0,
Korea DPR,Côte d'Ivoire,Group Phase,Mbombela Stadium,Nelspruit,16:00,25,6,2010,0,3,
Chile,Spain,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,20:30,25,6,2010,1,2,
Switzerland,Honduras,Group Phase,Free State Stadium,Mangaung/Bloemfontein,20:30,25,6,2010,0,0,
Uruguay,Korea Republic,Round of 16,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,16:00,26,6,2010,2,1,
USA,Ghana,Round of 16,Royal Bafokeng Sports Palace,Phokeng,20:30,26,6,2010,1,2,Ghana win after extra time
Germany,England,Round of 16,Free State Stadium,Mangaung/Bloemfontein,16:00,27,6,2010,4,1,
Argentina,Mexico,Round of 16,Soccer City Stadium,Johannesburg,20:30,27,6,2010,3,1,
Netherlands,Slovakia,Round of 16,Durban Stadium,Durban,16:00,28,6,2010,2,1,
Brazil,Chile,Round of 16,Ellis Park Stadium,Johannesburg,20:30,28,6,2010,3,0,
Paraguay,Japan,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria,16:00,29,6,2010,0,0,Paraguay win on penalties (5 - 3)
Spain,Portugal,Round of 16,Cape Town Stadium,Cape Town,20:30,29,6,2010,1,0,
Netherlands,Brazil,Quarter Finals,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,16:00,2,7,2010,2,1,
Uruguay,Ghana,Quarter Finals,Soccer City Stadium,Johannesburg,20:30,2,7,2010,1,1,Uruguay win on penalties (4 - 2)
Argentina,Germany,Quarter Finals,Cape Town Stadium,Cape Town,16:00,3,7,2010,0,4,
Paraguay,Spain,Quarter Finals,Ellis Park Stadium,Johannesburg,20:30,3,7,2010,0,1,
Uruguay,Netherlands,Semi Finals,Cape Town Stadium,Cape Town,20:30,6,7,2010,2,3,
Germany,Spain,Semi Finals,Durban Stadium,Durban,20:30,7,7,2010,0,1,
Uruguay,Germany,Play-off for third place,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,20:30,10,7,2010,2,3,
Netherlands,Spain,Finals,Soccer City Stadium,Johannesburg,20:30,11,7,2010,0,1,Spain win after extra time
Germany,Costa Rica,Group Phase,"FIFA World Cup Stadium, Munich",Munich,18:00,9,6,2006,4,2,
Poland,Ecuador,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,21:00,9,6,2006,0,2,
England,Paraguay,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,15:00,10,6,2006,1,0,
Trinidad and Tobago,Sweden,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,18:00,10,6,2006,0,0,
Argentina,Côte d'Ivoire,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,21:00,10,6,2006,2,1,
Serbia and Montenegro,Netherlands,Group Phase,Zentralstadion,Leipzig,15:00,11,6,2006,0,1,
Mexico,IR Iran,Group Phase,Franken-Stadion,Nuremberg,18:00,11,6,2006,3,1,
Angola,Portugal,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,21:00,11,6,2006,0,1,
Australia,Japan,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,15:00,12,6,2006,3,1,
USA,Czech Republic,Group Phase,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,18:00,12,6,2006,0,3,
Italy,Ghana,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,21:00,12,6,2006,2,0,
Korea Republic,Togo,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,15:00,13,6,2006,2,1,
